"kommunenummer_2013";"kommunenavn_2013";"kommunenummer_2017";"kommunenavn_2017";"endringsmerknad_13_17";"kommunenummer_2018";"kommunenavn_2018";"endringsmerknad_17_18";"kommunenummer_2019";"kommunenavn_2019";"endringsmerknad_18_19";"kommunenummer_2020";"kommunenavn_2020";"endringsmerknad_19_20"
"0631";"Flesberg";"0631";"Flesberg";"uendret fra 2013 til 2017";"0631";"Flesberg";"uendret fra 2017 til 2018";"0631";"Flesberg";"uendret fra 2018 til 2019";"3050";"Flesberg";"kun endret nummer fra 2019 til 2020"
"0632";"Rollag";"0632";"Rollag";"uendret fra 2013 til 2017";"0632";"Rollag";"uendret fra 2017 til 2018";"0632";"Rollag";"uendret fra 2018 til 2019";"3051";"Rollag";"kun endret nummer fra 2019 til 2020"
"0633";"Nore og Uvdal";"0633";"Nore og Uvdal";"uendret fra 2013 til 2017";"0633";"Nore og Uvdal";"uendret fra 2017 til 2018";"0633";"Nore og Uvdal";"uendret fra 2018 til 2019";"3052";"Nore og Uvdal";"kun endret nummer fra 2019 til 2020"
"0701";"Horten";"0701";"Horten";"uendret fra 2013 til 2017";"0701";"Horten";"uendret fra 2017 til 2018";"0701";"Horten";"uendret fra 2018 til 2019";"3801";"Horten";"kun endret nummer fra 2019 til 2020"
"0702";"Holmestrand";"0702";"Holmestrand";"uendret fra 2013 til 2017";"0715";"Holmestrand";"slått sammen fra 2017 til 2018";"0715";"Holmestrand";"uendret fra 2018 til 2019";"3802";"Holmestrand";"slått sammen fra 2019 til 2020"
"0704";"Tønsberg";"0704";"Tønsberg";"uendret fra 2013 til 2017";"0704";"Tønsberg";"uendret fra 2017 til 2018";"0704";"Tønsberg";"uendret fra 2018 til 2019";"3803";"Tønsberg";"slått sammen fra 2019 til 2020"
"0706";"Sandefjord";"0710";"Sandefjord";"slått sammen fra 2013 til 2017";"0710";"Sandefjord";"uendret fra 2017 til 2018";"0710";"Sandefjord";"uendret fra 2018 til 2019";"3804";"Sandefjord";"kun endret nummer fra 2019 til 2020"
"0709";"Larvik";"0709";"Larvik";"uendret fra 2013 til 2017";"0712";"Larvik";"slått sammen fra 2017 til 2018";"0712";"Larvik";"uendret fra 2018 til 2019";"3805";"Larvik";"kun endret nummer fra 2019 til 2020"
"0711";"Svelvik";"0711";"Svelvik";"uendret fra 2013 til 2017";"0711";"Svelvik";"uendret fra 2017 til 2018";"0711";"Svelvik";"uendret fra 2018 til 2019";"3005";"Drammen";"slått sammen fra 2019 til 2020"
"0713";"Sande";"0713";"Sande";"uendret fra 2013 til 2017";"0713";"Sande";"uendret fra 2017 til 2018";"0713";"Sande";"uendret fra 2018 til 2019";"3802";"Holmestrand";"slått sammen fra 2019 til 2020"
"0714";"Hof";"0714";"Hof";"uendret fra 2013 til 2017";"0715";"Holmestrand";"slått sammen fra 2017 til 2018";"0715";"Holmestrand";"uendret fra 2018 til 2019";"3802";"Holmestrand";"slått sammen fra 2019 til 2020"
"0716";"Re";"0716";"Re";"uendret fra 2013 til 2017";"0716";"Re";"uendret fra 2017 til 2018";"0716";"Re";"uendret fra 2018 til 2019";"3803";"Tønsberg";"slått sammen fra 2019 til 2020"
"0719";"Andebu";"0710";"Sandefjord";"slått sammen fra 2013 til 2017";"0710";"Sandefjord";"uendret fra 2017 til 2018";"0710";"Sandefjord";"uendret fra 2018 til 2019";"3804";"Sandefjord";"kun endret nummer fra 2019 til 2020"
"0720";"Stokke";"0710";"Sandefjord";"slått sammen fra 2013 til 2017";"0710";"Sandefjord";"uendret fra 2017 til 2018";"0710";"Sandefjord";"uendret fra 2018 til 2019";"3804";"Sandefjord";"kun endret nummer fra 2019 til 2020"
"0722";"Nøtterøy";"0722";"Nøtterøy";"uendret fra 2013 til 2017";"0729";"Færder";"slått sammen fra 2017 til 2018";"0729";"Færder";"uendret fra 2018 til 2019";"3811";"Færder";"kun endret nummer fra 2019 til 2020"
"0723";"Tjøme";"0723";"Tjøme";"uendret fra 2013 til 2017";"0729";"Færder";"slått sammen fra 2017 til 2018";"0729";"Færder";"uendret fra 2018 til 2019";"3811";"Færder";"kun endret nummer fra 2019 til 2020"
"0728";"Lardal";"0728";"Lardal";"uendret fra 2013 til 2017";"0712";"Larvik";"slått sammen fra 2017 til 2018";"0712";"Larvik";"uendret fra 2018 til 2019";"3805";"Larvik";"kun endret nummer fra 2019 til 2020"
"0805";"Porsgrunn";"0805";"Porsgrunn";"uendret fra 2013 til 2017";"0805";"Porsgrunn";"uendret fra 2017 til 2018";"0805";"Porsgrunn";"uendret fra 2018 til 2019";"3806";"Porsgrunn";"kun endret nummer fra 2019 til 2020"
"0806";"Skien";"0806";"Skien";"uendret fra 2013 til 2017";"0806";"Skien";"uendret fra 2017 til 2018";"0806";"Skien";"uendret fra 2018 til 2019";"3807";"Skien";"kun endret nummer fra 2019 til 2020"
"0807";"Notodden";"0807";"Notodden";"uendret fra 2013 til 2017";"0807";"Notodden";"uendret fra 2017 til 2018";"0807";"Notodden";"uendret fra 2018 til 2019";"3808";"Notodden";"kun endret nummer fra 2019 til 2020"
"0811";"Siljan";"0811";"Siljan";"uendret fra 2013 til 2017";"0811";"Siljan";"uendret fra 2017 til 2018";"0811";"Siljan";"uendret fra 2018 til 2019";"3812";"Siljan";"kun endret nummer fra 2019 til 2020"
"0814";"Bamble";"0814";"Bamble";"uendret fra 2013 til 2017";"0814";"Bamble";"uendret fra 2017 til 2018";"0814";"Bamble";"uendret fra 2018 til 2019";"3813";"Bamble";"kun endret nummer fra 2019 til 2020"
"0815";"Kragerø";"0815";"Kragerø";"uendret fra 2013 til 2017";"0815";"Kragerø";"uendret fra 2017 til 2018";"0815";"Kragerø";"uendret fra 2018 til 2019";"3814";"Kragerø";"kun endret nummer fra 2019 til 2020"
"0817";"Drangedal";"0817";"Drangedal";"uendret fra 2013 til 2017";"0817";"Drangedal";"uendret fra 2017 til 2018";"0817";"Drangedal";"uendret fra 2018 til 2019";"3815";"Drangedal";"kun endret nummer fra 2019 til 2020"
"0819";"Nome";"0819";"Nome";"uendret fra 2013 til 2017";"0819";"Nome";"uendret fra 2017 til 2018";"0819";"Nome";"uendret fra 2018 til 2019";"3816";"Nome";"kun endret nummer fra 2019 til 2020"
"0821";"Bø";"0821";"Bø";"uendret fra 2013 til 2017";"0821";"Bø";"uendret fra 2017 til 2018";"0821";"Bø";"uendret fra 2018 til 2019";"3817";"Midt-Telemark";"slått sammen fra 2019 til 2020"
"0822";"Sauherad";"0822";"Sauherad";"uendret fra 2013 til 2017";"0822";"Sauherad";"uendret fra 2017 til 2018";"0822";"Sauherad";"uendret fra 2018 til 2019";"3817";"Midt-Telemark";"slått sammen fra 2019 til 2020"
"0826";"Tinn";"0826";"Tinn";"uendret fra 2013 til 2017";"0826";"Tinn";"uendret fra 2017 til 2018";"0826";"Tinn";"uendret fra 2018 til 2019";"3818";"Tinn";"kun endret nummer fra 2019 til 2020"
"0827";"Hjartdal";"0827";"Hjartdal";"uendret fra 2013 til 2017";"0827";"Hjartdal";"uendret fra 2017 til 2018";"0827";"Hjartdal";"uendret fra 2018 til 2019";"3819";"Hjartdal";"kun endret nummer fra 2019 til 2020"
"0828";"Seljord";"0828";"Seljord";"uendret fra 2013 til 2017";"0828";"Seljord";"uendret fra 2017 til 2018";"0828";"Seljord";"uendret fra 2018 til 2019";"3820";"Seljord";"kun endret nummer fra 2019 til 2020"
"0829";"Kviteseid";"0829";"Kviteseid";"uendret fra 2013 til 2017";"0829";"Kviteseid";"uendret fra 2017 til 2018";"0829";"Kviteseid";"uendret fra 2018 til 2019";"3821";"Kviteseid";"kun endret nummer fra 2019 til 2020"
"0830";"Nissedal";"0830";"Nissedal";"uendret fra 2013 til 2017";"0830";"Nissedal";"uendret fra 2017 til 2018";"0830";"Nissedal";"uendret fra 2018 til 2019";"3822";"Nissedal";"kun endret nummer fra 2019 til 2020"
"0831";"Fyresdal";"0831";"Fyresdal";"uendret fra 2013 til 2017";"0831";"Fyresdal";"uendret fra 2017 til 2018";"0831";"Fyresdal";"uendret fra 2018 til 2019";"3823";"Fyresdal";"kun endret nummer fra 2019 til 2020"
"0833";"Tokke";"0833";"Tokke";"uendret fra 2013 til 2017";"0833";"Tokke";"uendret fra 2017 til 2018";"0833";"Tokke";"uendret fra 2018 til 2019";"3824";"Tokke";"kun endret nummer fra 2019 til 2020"
"0834";"Vinje";"0834";"Vinje";"uendret fra 2013 til 2017";"0834";"Vinje";"uendret fra 2017 til 2018";"0834";"Vinje";"uendret fra 2018 til 2019";"3825";"Vinje";"kun endret nummer fra 2019 til 2020"
"0901";"Risør";"0901";"Risør";"uendret fra 2013 til 2017";"0901";"Risør";"uendret fra 2017 til 2018";"0901";"Risør";"uendret fra 2018 til 2019";"4201";"Risør";"kun endret nummer fra 2019 til 2020"
"0904";"Grimstad";"0904";"Grimstad";"uendret fra 2013 til 2017";"0904";"Grimstad";"uendret fra 2017 til 2018";"0904";"Grimstad";"uendret fra 2018 til 2019";"4202";"Grimstad";"kun endret nummer fra 2019 til 2020"
"0906";"Arendal";"0906";"Arendal";"uendret fra 2013 til 2017";"0906";"Arendal";"uendret fra 2017 til 2018";"0906";"Arendal";"uendret fra 2018 til 2019";"4203";"Arendal";"kun endret nummer fra 2019 til 2020"
"0911";"Gjerstad";"0911";"Gjerstad";"uendret fra 2013 til 2017";"0911";"Gjerstad";"uendret fra 2017 til 2018";"0911";"Gjerstad";"uendret fra 2018 til 2019";"4211";"Gjerstad";"kun endret nummer fra 2019 til 2020"
"0912";"Vegårshei";"0912";"Vegårshei";"uendret fra 2013 til 2017";"0912";"Vegårshei";"uendret fra 2017 til 2018";"0912";"Vegårshei";"uendret fra 2018 til 2019";"4212";"Vegårshei";"kun endret nummer fra 2019 til 2020"
"0914";"Tvedestrand";"0914";"Tvedestrand";"uendret fra 2013 til 2017";"0914";"Tvedestrand";"uendret fra 2017 til 2018";"0914";"Tvedestrand";"uendret fra 2018 til 2019";"4213";"Tvedestrand";"kun endret nummer fra 2019 til 2020"
"0919";"Froland";"0919";"Froland";"uendret fra 2013 til 2017";"0919";"Froland";"uendret fra 2017 til 2018";"0919";"Froland";"uendret fra 2018 til 2019";"4214";"Froland";"kun endret nummer fra 2019 til 2020"
"0926";"Lillesand";"0926";"Lillesand";"uendret fra 2013 til 2017";"0926";"Lillesand";"uendret fra 2017 til 2018";"0926";"Lillesand";"uendret fra 2018 til 2019";"4215";"Lillesand";"kun endret nummer fra 2019 til 2020"
"0928";"Birkenes";"0928";"Birkenes";"uendret fra 2013 til 2017";"0928";"Birkenes";"uendret fra 2017 til 2018";"0928";"Birkenes";"uendret fra 2018 til 2019";"4216";"Birkenes";"kun endret nummer fra 2019 til 2020"
"0929";"Åmli";"0929";"Åmli";"uendret fra 2013 til 2017";"0929";"Åmli";"uendret fra 2017 til 2018";"0929";"Åmli";"uendret fra 2018 til 2019";"4217";"Åmli";"kun endret nummer fra 2019 til 2020"
"0935";"Iveland";"0935";"Iveland";"uendret fra 2013 til 2017";"0935";"Iveland";"uendret fra 2017 til 2018";"0935";"Iveland";"uendret fra 2018 til 2019";"4218";"Iveland";"kun endret nummer fra 2019 til 2020"
"0937";"Evje og Hornnes";"0937";"Evje og Hornnes";"uendret fra 2013 til 2017";"0937";"Evje og Hornnes";"uendret fra 2017 til 2018";"0937";"Evje og Hornnes";"uendret fra 2018 til 2019";"4219";"Evje og Hornnes";"kun endret nummer fra 2019 til 2020"
"0938";"Bygland";"0938";"Bygland";"uendret fra 2013 til 2017";"0938";"Bygland";"uendret fra 2017 til 2018";"0938";"Bygland";"uendret fra 2018 til 2019";"4220";"Bygland";"kun endret nummer fra 2019 til 2020"
"0940";"Valle";"0940";"Valle";"uendret fra 2013 til 2017";"0940";"Valle";"uendret fra 2017 til 2018";"0940";"Valle";"uendret fra 2018 til 2019";"4221";"Valle";"kun endret nummer fra 2019 til 2020"
"0941";"Bykle";"0941";"Bykle";"uendret fra 2013 til 2017";"0941";"Bykle";"uendret fra 2017 til 2018";"0941";"Bykle";"uendret fra 2018 til 2019";"4222";"Bykle";"kun endret nummer fra 2019 til 2020"
"1001";"Kristiansand";"1001";"Kristiansand";"uendret fra 2013 til 2017";"1001";"Kristiansand";"uendret fra 2017 til 2018";"1001";"Kristiansand";"uendret fra 2018 til 2019";"4204";"Kristiansand";"slått sammen fra 2019 til 2020"
"1002";"Mandal";"1002";"Mandal";"uendret fra 2013 til 2017";"1002";"Mandal";"uendret fra 2017 til 2018";"1002";"Mandal";"uendret fra 2018 til 2019";"4205";"Lindesnes";"slått sammen fra 2019 til 2020"
"1003";"Farsund";"1003";"Farsund";"uendret fra 2013 til 2017";"1003";"Farsund";"uendret fra 2017 til 2018";"1003";"Farsund";"uendret fra 2018 til 2019";"4206";"Farsund";"kun endret nummer fra 2019 til 2020"
"1004";"Flekkefjord";"1004";"Flekkefjord";"uendret fra 2013 til 2017";"1004";"Flekkefjord";"uendret fra 2017 til 2018";"1004";"Flekkefjord";"uendret fra 2018 til 2019";"4207";"Flekkefjord";"kun endret nummer fra 2019 til 2020"
"1014";"Vennesla";"1014";"Vennesla";"uendret fra 2013 til 2017";"1014";"Vennesla";"uendret fra 2017 til 2018";"1014";"Vennesla";"uendret fra 2018 til 2019";"4223";"Vennesla";"kun endret nummer fra 2019 til 2020"
"1017";"Songdalen";"1017";"Songdalen";"uendret fra 2013 til 2017";"1017";"Songdalen";"uendret fra 2017 til 2018";"1017";"Songdalen";"uendret fra 2018 til 2019";"4204";"Kristiansand";"slått sammen fra 2019 til 2020"
"1018";"Søgne";"1018";"Søgne";"uendret fra 2013 til 2017";"1018";"Søgne";"uendret fra 2017 til 2018";"1018";"Søgne";"uendret fra 2018 til 2019";"4204";"Kristiansand";"slått sammen fra 2019 til 2020"
"1021";"Marnardal";"1021";"Marnardal";"uendret fra 2013 til 2017";"1021";"Marnardal";"uendret fra 2017 til 2018";"1021";"Marnardal";"uendret fra 2018 til 2019";"4205";"Lindesnes";"slått sammen fra 2019 til 2020"
"1026";"Åseral";"1026";"Åseral";"uendret fra 2013 til 2017";"1026";"Åseral";"uendret fra 2017 til 2018";"1026";"Åseral";"uendret fra 2018 til 2019";"4224";"Åseral";"kun endret nummer fra 2019 til 2020"
"1027";"Audnedal";"1027";"Audnedal";"uendret fra 2013 til 2017";"1027";"Audnedal";"uendret fra 2017 til 2018";"1027";"Audnedal";"uendret fra 2018 til 2019";"4225";"Lyngdal";"slått sammen fra 2019 til 2020"
"1029";"Lindesnes";"1029";"Lindesnes";"uendret fra 2013 til 2017";"1029";"Lindesnes";"uendret fra 2017 til 2018";"1029";"Lindesnes";"uendret fra 2018 til 2019";"4205";"Lindesnes";"slått sammen fra 2019 til 2020"
"1032";"Lyngdal";"1032";"Lyngdal";"uendret fra 2013 til 2017";"1032";"Lyngdal";"uendret fra 2017 til 2018";"1032";"Lyngdal";"uendret fra 2018 til 2019";"4225";"Lyngdal";"slått sammen fra 2019 til 2020"
"1034";"Hægebostad";"1034";"Hægebostad";"uendret fra 2013 til 2017";"1034";"Hægebostad";"uendret fra 2017 til 2018";"1034";"Hægebostad";"uendret fra 2018 til 2019";"4226";"Hægebostad";"kun endret nummer fra 2019 til 2020"
"1037";"Kvinesdal";"1037";"Kvinesdal";"uendret fra 2013 til 2017";"1037";"Kvinesdal";"uendret fra 2017 til 2018";"1037";"Kvinesdal";"uendret fra 2018 til 2019";"4227";"Kvinesdal";"kun endret nummer fra 2019 til 2020"
"1046";"Sirdal";"1046";"Sirdal";"uendret fra 2013 til 2017";"1046";"Sirdal";"uendret fra 2017 til 2018";"1046";"Sirdal";"uendret fra 2018 til 2019";"4228";"Sirdal";"kun endret nummer fra 2019 til 2020"
"1101";"Eigersund";"1101";"Eigersund";"uendret fra 2013 til 2017";"1101";"Eigersund";"uendret fra 2017 til 2018";"1101";"Eigersund";"uendret fra 2018 til 2019";"1101";"Eigersund";"uendret fra 2019 til 2020"
"1102";"Sandnes";"1102";"Sandnes";"uendret fra 2013 til 2017";"1102";"Sandnes";"uendret fra 2017 til 2018";"1102";"Sandnes";"uendret fra 2018 til 2019";"1108";"Sandnes";"slått sammen fra 2019 til 2020"
"1103";"Stavanger";"1103";"Stavanger";"uendret fra 2013 til 2017";"1103";"Stavanger";"uendret fra 2017 til 2018";"1103";"Stavanger";"uendret fra 2018 til 2019";"1103";"Stavanger";"slått sammen fra 2019 til 2020"
"1106";"Haugesund";"1106";"Haugesund";"uendret fra 2013 til 2017";"1106";"Haugesund";"uendret fra 2017 til 2018";"1106";"Haugesund";"uendret fra 2018 til 2019";"1106";"Haugesund";"uendret fra 2019 til 2020"
"1111";"Sokndal";"1111";"Sokndal";"uendret fra 2013 til 2017";"1111";"Sokndal";"uendret fra 2017 til 2018";"1111";"Sokndal";"uendret fra 2018 til 2019";"1111";"Sokndal";"uendret fra 2019 til 2020"
"1112";"Lund";"1112";"Lund";"uendret fra 2013 til 2017";"1112";"Lund";"uendret fra 2017 til 2018";"1112";"Lund";"uendret fra 2018 til 2019";"1112";"Lund";"uendret fra 2019 til 2020"
"1114";"Bjerkreim";"1114";"Bjerkreim";"uendret fra 2013 til 2017";"1114";"Bjerkreim";"uendret fra 2017 til 2018";"1114";"Bjerkreim";"uendret fra 2018 til 2019";"1114";"Bjerkreim";"uendret fra 2019 til 2020"
"1119";"Hå";"1119";"Hå";"uendret fra 2013 til 2017";"1119";"Hå";"uendret fra 2017 til 2018";"1119";"Hå";"uendret fra 2018 til 2019";"1119";"Hå";"uendret fra 2019 til 2020"
"1120";"Klepp";"1120";"Klepp";"uendret fra 2013 til 2017";"1120";"Klepp";"uendret fra 2017 til 2018";"1120";"Klepp";"uendret fra 2018 til 2019";"1120";"Klepp";"uendret fra 2019 til 2020"
"1121";"Time";"1121";"Time";"uendret fra 2013 til 2017";"1121";"Time";"uendret fra 2017 til 2018";"1121";"Time";"uendret fra 2018 til 2019";"1121";"Time";"uendret fra 2019 til 2020"
"1122";"Gjesdal";"1122";"Gjesdal";"uendret fra 2013 til 2017";"1122";"Gjesdal";"uendret fra 2017 til 2018";"1122";"Gjesdal";"uendret fra 2018 til 2019";"1122";"Gjesdal";"uendret fra 2019 til 2020"
"1124";"Sola";"1124";"Sola";"uendret fra 2013 til 2017";"1124";"Sola";"uendret fra 2017 til 2018";"1124";"Sola";"uendret fra 2018 til 2019";"1124";"Sola";"uendret fra 2019 til 2020"
"1127";"Randaberg";"1127";"Randaberg";"uendret fra 2013 til 2017";"1127";"Randaberg";"uendret fra 2017 til 2018";"1127";"Randaberg";"uendret fra 2018 til 2019";"1127";"Randaberg";"uendret fra 2019 til 2020"
"1129";"Forsand";"1129";"Forsand";"uendret fra 2013 til 2017";"1129";"Forsand";"uendret fra 2017 til 2018";"1129";"Forsand";"uendret fra 2018 til 2019";"1108";"Sandnes";"slått sammen fra 2019 til 2020"
"1130";"Strand";"1130";"Strand";"uendret fra 2013 til 2017";"1130";"Strand";"uendret fra 2017 til 2018";"1130";"Strand";"uendret fra 2018 til 2019";"1130";"Strand";"uendret fra 2019 til 2020"
"1133";"Hjelmeland";"1133";"Hjelmeland";"uendret fra 2013 til 2017";"1133";"Hjelmeland";"uendret fra 2017 til 2018";"1133";"Hjelmeland";"uendret fra 2018 til 2019";"1133";"Hjelmeland";"uendret fra 2019 til 2020"
"1134";"Suldal";"1134";"Suldal";"uendret fra 2013 til 2017";"1134";"Suldal";"uendret fra 2017 til 2018";"1134";"Suldal";"uendret fra 2018 til 2019";"1134";"Suldal";"uendret fra 2019 til 2020"
"1135";"Sauda";"1135";"Sauda";"uendret fra 2013 til 2017";"1135";"Sauda";"uendret fra 2017 til 2018";"1135";"Sauda";"uendret fra 2018 til 2019";"1135";"Sauda";"uendret fra 2019 til 2020"
"1141";"Finnøy";"1141";"Finnøy";"uendret fra 2013 til 2017";"1141";"Finnøy";"uendret fra 2017 til 2018";"1141";"Finnøy";"uendret fra 2018 til 2019";"1103";"Stavanger";"slått sammen fra 2019 til 2020"
"1142";"Rennesøy";"1142";"Rennesøy";"uendret fra 2013 til 2017";"1142";"Rennesøy";"uendret fra 2017 til 2018";"1142";"Rennesøy";"uendret fra 2018 til 2019";"1103";"Stavanger";"slått sammen fra 2019 til 2020"
"1144";"Kvitsøy";"1144";"Kvitsøy";"uendret fra 2013 til 2017";"1144";"Kvitsøy";"uendret fra 2017 til 2018";"1144";"Kvitsøy";"uendret fra 2018 til 2019";"1144";"Kvitsøy";"uendret fra 2019 til 2020"
"1145";"Bokn";"1145";"Bokn";"uendret fra 2013 til 2017";"1145";"Bokn";"uendret fra 2017 til 2018";"1145";"Bokn";"uendret fra 2018 til 2019";"1145";"Bokn";"uendret fra 2019 til 2020"
"1146";"Tysvær";"1146";"Tysvær";"uendret fra 2013 til 2017";"1146";"Tysvær";"uendret fra 2017 til 2018";"1146";"Tysvær";"uendret fra 2018 til 2019";"1146";"Tysvær";"uendret fra 2019 til 2020"
"1149";"Karmøy";"1149";"Karmøy";"uendret fra 2013 til 2017";"1149";"Karmøy";"uendret fra 2017 til 2018";"1149";"Karmøy";"uendret fra 2018 til 2019";"1149";"Karmøy";"uendret fra 2019 til 2020"
"1151";"Utsira";"1151";"Utsira";"uendret fra 2013 til 2017";"1151";"Utsira";"uendret fra 2017 til 2018";"1151";"Utsira";"uendret fra 2018 til 2019";"1151";"Utsira";"uendret fra 2019 til 2020"
"1160";"Vindafjord";"1160";"Vindafjord";"uendret fra 2013 til 2017";"1160";"Vindafjord";"uendret fra 2017 til 2018";"1160";"Vindafjord";"uendret fra 2018 til 2019";"1160";"Vindafjord";"uendret fra 2019 til 2020"
"1201";"Bergen";"1201";"Bergen";"uendret fra 2013 til 2017";"1201";"Bergen";"uendret fra 2017 til 2018";"1201";"Bergen";"uendret fra 2018 til 2019";"4601";"Bergen";"kun endret nummer fra 2019 til 2020"
"1211";"Etne";"1211";"Etne";"uendret fra 2013 til 2017";"1211";"Etne";"uendret fra 2017 til 2018";"1211";"Etne";"uendret fra 2018 til 2019";"4611";"Etne";"kun endret nummer fra 2019 til 2020"
"1216";"Sveio";"1216";"Sveio";"uendret fra 2013 til 2017";"1216";"Sveio";"uendret fra 2017 til 2018";"1216";"Sveio";"uendret fra 2018 til 2019";"4612";"Sveio";"kun endret nummer fra 2019 til 2020"
"1219";"Bømlo";"1219";"Bømlo";"uendret fra 2013 til 2017";"1219";"Bømlo";"uendret fra 2017 til 2018";"1219";"Bømlo";"uendret fra 2018 til 2019";"4613";"Bømlo";"kun endret nummer fra 2019 til 2020"
"1221";"Stord";"1221";"Stord";"uendret fra 2013 til 2017";"1221";"Stord";"uendret fra 2017 til 2018";"1221";"Stord";"uendret fra 2018 til 2019";"4614";"Stord";"kun endret nummer fra 2019 til 2020"
"1222";"Fitjar";"1222";"Fitjar";"uendret fra 2013 til 2017";"1222";"Fitjar";"uendret fra 2017 til 2018";"1222";"Fitjar";"uendret fra 2018 til 2019";"4615";"Fitjar";"kun endret nummer fra 2019 til 2020"
"1223";"Tysnes";"1223";"Tysnes";"uendret fra 2013 til 2017";"1223";"Tysnes";"uendret fra 2017 til 2018";"1223";"Tysnes";"uendret fra 2018 til 2019";"4616";"Tysnes";"kun endret nummer fra 2019 til 2020"
"1224";"Kvinnherad";"1224";"Kvinnherad";"uendret fra 2013 til 2017";"1224";"Kvinnherad";"uendret fra 2017 til 2018";"1224";"Kvinnherad";"uendret fra 2018 til 2019";"4617";"Kvinnherad";"kun endret nummer fra 2019 til 2020"
"1227";"Jondal";"1227";"Jondal";"uendret fra 2013 til 2017";"1227";"Jondal";"uendret fra 2017 til 2018";"1227";"Jondal";"uendret fra 2018 til 2019";"4618";"Ullensvang";"slått sammen fra 2019 til 2020"
"1228";"Odda";"1228";"Odda";"uendret fra 2013 til 2017";"1228";"Odda";"uendret fra 2017 til 2018";"1228";"Odda";"uendret fra 2018 til 2019";"4618";"Ullensvang";"slått sammen fra 2019 til 2020"
"1231";"Ullensvang";"1231";"Ullensvang";"uendret fra 2013 til 2017";"1231";"Ullensvang";"uendret fra 2017 til 2018";"1231";"Ullensvang";"uendret fra 2018 til 2019";"4618";"Ullensvang";"slått sammen fra 2019 til 2020"
"1232";"Eidfjord";"1232";"Eidfjord";"uendret fra 2013 til 2017";"1232";"Eidfjord";"uendret fra 2017 til 2018";"1232";"Eidfjord";"uendret fra 2018 til 2019";"4619";"Eidfjord";"kun endret nummer fra 2019 til 2020"
"1233";"Ulvik";"1233";"Ulvik";"uendret fra 2013 til 2017";"1233";"Ulvik";"uendret fra 2017 til 2018";"1233";"Ulvik";"uendret fra 2018 til 2019";"4620";"Ulvik";"kun endret nummer fra 2019 til 2020"
"1234";"Granvin";"1234";"Granvin";"uendret fra 2013 til 2017";"1234";"Granvin";"uendret fra 2017 til 2018";"1234";"Granvin";"uendret fra 2018 til 2019";"4621";"Voss";"slått sammen fra 2019 til 2020"
"1235";"Voss";"1235";"Voss";"uendret fra 2013 til 2017";"1235";"Voss";"uendret fra 2017 til 2018";"1235";"Voss";"uendret fra 2018 til 2019";"4621";"Voss";"slått sammen fra 2019 til 2020"
"1238";"Kvam";"1238";"Kvam";"uendret fra 2013 til 2017";"1238";"Kvam";"uendret fra 2017 til 2018";"1238";"Kvam";"uendret fra 2018 til 2019";"4622";"Kvam";"kun endret nummer fra 2019 til 2020"
"1241";"Fusa";"1241";"Fusa";"uendret fra 2013 til 2017";"1241";"Fusa";"uendret fra 2017 til 2018";"1241";"Fusa";"uendret fra 2018 til 2019";"4624";"Bjørnafjorden";"slått sammen fra 2019 til 2020"
"1242";"Samnanger";"1242";"Samnanger";"uendret fra 2013 til 2017";"1242";"Samnanger";"uendret fra 2017 til 2018";"1242";"Samnanger";"uendret fra 2018 til 2019";"4623";"Samnanger";"kun endret nummer fra 2019 til 2020"
